inchikey	inchi	smiles	atom_bag	charge
DELRCXTYJVVNEW-UHFFFAOYSA-N	InChI=1S/N/q+1	[N+]	"{""N"": 1, ""e-"": 6}"	1
ORQBXQOJMQIAOY-UHFFFAOYSA-N	InChI=1S/No	[No]	"{""No"": 1, ""e-"": 102}"	0
QJOUINPVAACZEN-UHFFFAOYSA-N	InChI=1S/B80/c1-2-5-11-7-3(1,61(1,2,5,7)11)9-10-4(1)8-12-6(2,62(1,2,4,8)12)16-15(5)25-29-19(11,65(5,11,15,25)29)23-13(7)21-17(9,63(3,7,9,13)21)27-28-18(10,67(9,10,17,27)28)22-14(8,64(4,8,10,18)22)24-20(12)30-26(16,66(6,12,16,20)30)36-35(25,70(15,16,25,26)36)45-39(29)43-33(23,71(19,23,29,39)43)41-31(21,68(13,21,23,33)41)37(27)47-48-38(28,73(27,28,37,47)48)32(22)42-34(24,69(14,22,24,32)42)44-40(30,72(20,24,30,34)44)46(36)56-55(45,76(35,36,45,46)56)57-51(43,77(39,43,45,55)57)49(41)53(47,74(31,37,41,47)49)59-54(48)50(42,75(32,38,42,48)54)52(44)58(56,78(40,44,46,52)56)60(57,59,79(49,51,53,57)59)80(50,52,54,58)59	[B]1234[B]567[B]89%10[B]%11%12%13[B]%14%15%16[B]%17%181[B]1%19%20[B]%21%22%23[B]%24%252[B]2%26%27[B]%28%29%30[B]%315([B]5%32%33[B]%34%358[B]8%36%37[B]%38%39%40[B]%41%11([B]%11%42%43[B]%44%45%14[B]%14%46%47[B]%48%491[B]1%50%51[B]%52%53%54[B]%55%21([B]%21%56%57[B]%58%592[B]2%60%61[B]%62%63%28[B]%28%64%65[B]%665([B]5%67%68[B]%698([B]8%70%71[B]%72%73%38[B]%38%74%75[B]%76%11([B]%11%77%78[B]%79%14([B]%14%801[B]1%81%82[B]%83%84%85[B]%86%52([B]%52%87%21[B]%21%88%89[B]%902([B]2%91%92[B]%93%28([B]%28%945[B]5%95%96[B]%978([B]8%98%99[B]%(100)%38([B]%38%(101)%11[B]%111([B]1%(102)%(103)9[B]9%(104)%17%83[B]%17%21([B]%21%2429[B]295[B]81([B]%98%(100)%38%11%(102))[B]%(103)%(104)%17%212[B]%91%93%28%959[B]%22%26%55%57%59)[B]%84%86%52%88([B]%15%20%45%47%49)[B]47%13%16%18)[B]%77%79%14%81%(101))[B]%70%72%74%97%99)[B]%67%69%71%94%96)[B]%60%62%64%90%92)[B]%56%58%61%87%89)[B]%50%53%80%82%85)[B]%42%44%46%76%78)[B]%39%41%43%73%75)[B]%32%34%36%66%68)[B]%29%31%33%63%65)[B]%19%23%48%51%54)[B]%10%12%35%37%40)[B]36%25%27%30	"{""B"": 80, ""e-"": 400}"	0
JLVVSXFLKOJNIY-UHFFFAOYSA-N	InChI=1S/Mg/q+2	[Mg+2]	"{""Mg"": 1, ""e-"": 10}"	2
SYQBFIAQOQZEGI-UHFFFAOYSA-N	InChI=1S/Os	[Os]	"{""Os"": 1, ""e-"": 76}"	0
MQZFZDIZKWNWFX-UHFFFAOYSA-N	InChI=1S/Os/q+2	[Os+2]	"{""Os"": 1, ""e-"": 74}"	2
XQBKHDFIPARBOX-UHFFFAOYSA-N	InChI=1S/Os/q+3	[Os+3]	"{""Os"": 1, ""e-"": 73}"	3
OQURWADGXKZUIH-UHFFFAOYSA-N	InChI=1S/Os/q+4	[Os+4]	"{""Os"": 1, ""e-"": 72}"	4
KDLHZDBZIXYQEI-UHFFFAOYSA-N	InChI=1S/Pd	[Pd]	"{""Pd"": 1, ""e-"": 46}"	0
DOSGOCSVHPUUIA-UHFFFAOYSA-N	InChI=1S/Sm/q+3	[Sm+3]	"{""Sm"": 1, ""e-"": 59}"	3
MJOXZELXZLIYPI-UHFFFAOYSA-N	InChI=1S/Ti/q+2	[Ti+2]	"{""Ti"": 1, ""e-"": 20}"	2
CMWCOKOTCLFJOP-UHFFFAOYSA-N	InChI=1S/Ti/q+3	[Ti+3]	"{""Ti"": 1, ""e-"": 19}"	3
MUJIDPITZJWBSW-UHFFFAOYSA-N	InChI=1S/Pd/q+2	[Pd+2]	"{""Pd"": 1, ""e-"": 44}"	2
SWQJXJOGLNCZEY-UHFFFAOYSA-N	InChI=1S/He	[He]	"{""He"": 1, ""e-"": 2}"	0
FFZANLXOAFSSGC-UHFFFAOYSA-N	InChI=1S/P/q-1	[P-]	"{""P"": 1, ""e-"": 16}"	-1
SUHKCRJAAHZROE-UHFFFAOYSA-N	InChI=1S/Se/q-1	[Se-]	"{""Se"": 1, ""e-"": 35}"	-1
KPAKJCZNXLKDNP-UHFFFAOYSA-N	InChI=1S/Te/q-1	[Te-]	"{""Te"": 1, ""e-"": 53}"	-1
UGFAIRIUMAVXCW-UHFFFAOYSA-N	InChI=1S/CO/c1-2	[C-]#[O+]	"{""C"": 1, ""O"": 1, ""e-"": 14}"	0
XEEYBQQBJWHFJM-UHFFFAOYSA-N	InChI=1S/Fe	[Fe]	"{""Fe"": 1, ""e-"": 26}"	0
CWYNVVGOOAEACU-UHFFFAOYSA-N	InChI=1S/Fe/q+2	[Fe+2]	"{""Fe"": 1, ""e-"": 24}"	2
VTLYFUHAOXGGBS-UHFFFAOYSA-N	InChI=1S/Fe/q+3	[Fe+3]	"{""Fe"": 1, ""e-"": 23}"	3
IVRMZWNICZWHMI-UHFFFAOYSA-N	InChI=1S/N3/c1-3-2/q-1	[N-]=[N+]=[N-]	"{""N"": 3, ""e-"": 22}"	-1
FOIXSVOLVBLSDH-UHFFFAOYSA-N	InChI=1S/Ag/q+1	[Ag+]	"{""Ag"": 1, ""e-"": 46}"	1
BQCADISMDOOEFD-UHFFFAOYSA-N	InChI=1S/Ag	[Ag]	"{""Ag"": 1, ""e-"": 47}"	0
UXMOGIXOTMNDOH-UHFFFAOYSA-N	InChI=1S/N2/c1-2/q-4	[N-2][N-2]	"{""N"": 2, ""e-"": 18}"	-4
HCHKCACWOHOZIP-UHFFFAOYSA-N	InChI=1S/Zn	[Zn]	"{""Zn"": 1, ""e-"": 30}"	0
PTFCDOFLOPIGGS-UHFFFAOYSA-N	InChI=1S/Zn/q+2	[Zn+2]	"{""Zn"": 1, ""e-"": 28}"	2
XAGFODPZIPBFFR-UHFFFAOYSA-N	InChI=1S/Al	[Al]	"{""Al"": 1, ""e-"": 13}"	0
REDXJYDRNCIFBQ-UHFFFAOYSA-N	InChI=1S/Al/q+3	[Al+3]	"{""Al"": 1, ""e-"": 10}"	3
JDIBGQFKXXXXPN-UHFFFAOYSA-N	InChI=1S/Bi/q+3	[Bi+3]	"{""Bi"": 1, ""e-"": 80}"	3
QVGXLLKOCUKJST-UHFFFAOYSA-N	InChI=1S/O	[O]	"{""O"": 1, ""e-"": 8}"	0
ATJFFYVFTNAWJD-UHFFFAOYSA-N	InChI=1S/Sn	[Sn]	"{""Sn"": 1, ""e-"": 50}"	0
IUTCEZPPWBHGIX-UHFFFAOYSA-N	InChI=1S/Sn/q+2	[Sn+2]	"{""Sn"": 1, ""e-"": 48}"	2
UCKMPCXJQFINFW-UHFFFAOYSA-N	InChI=1S/S/q-2	[S-2]	"{""S"": 1, ""e-"": 18}"	-2
RYGMFSIKBFXOCR-UHFFFAOYSA-N	InChI=1S/Cu	[Cu]	"{""Cu"": 1, ""e-"": 29}"	0
JPVYNHNXODAKFH-UHFFFAOYSA-N	InChI=1S/Cu/q+2	[Cu+2]	"{""Cu"": 1, ""e-"": 27}"	2
PXHVJJICTQNCMI-UHFFFAOYSA-N	InChI=1S/Ni	[Ni]	"{""Ni"": 1, ""e-"": 28}"	0
VEQPNABPJHWNSG-UHFFFAOYSA-N	InChI=1S/Ni/q+2	[Ni+2]	"{""Ni"": 1, ""e-"": 26}"	2
YZCKVEUIGOORGS-UHFFFAOYSA-N	InChI=1S/H	[H]	"{""H"": 1, ""e-"": 1}"	0
UFHFLCQGNIYNRP-UHFFFAOYSA-N	InChI=1S/H2/h1H	[H][H]	"{""H"": 2, ""e-"": 2}"	0
ANAIPYUSIMHBEL-UHFFFAOYSA-N	InChI=1S/O2/c1-2/q-2	[O-][O-]	"{""O"": 2, ""e-"": 18}"	-2
BDOSMKKIYDKNTQ-UHFFFAOYSA-N	InChI=1S/Cd	[Cd]	"{""Cd"": 1, ""e-"": 48}"	0
WLZRMCYVCSSEQC-UHFFFAOYSA-N	InChI=1S/Cd/q+2	[Cd+2]	"{""Cd"": 1, ""e-"": 46}"	2
VMQMZMRVKUZKQL-UHFFFAOYSA-N	InChI=1S/Cu/q+1	[Cu+]	"{""Cu"": 1, ""e-"": 28}"	1
MYMOFIZGZYHOMD-UHFFFAOYSA-N	InChI=1S/O2/c1-2	[O][O]	"{""O"": 2, ""e-"": 16}"	0
PVBJMPGOALGYQS-UHFFFAOYSA-N	InChI=1S/As/q-3	[As-3]	"{""As"": 1, ""e-"": 36}"	-3
HAYXDMNJJFVXCI-UHFFFAOYSA-N	InChI=1S/As/q+5	[As+5]	"{""As"": 1, ""e-"": 28}"	5
RYXHOMYVWAEKHL-UHFFFAOYSA-N	InChI=1S/At	[At]	"{""At"": 1, ""e-"": 85}"	0
WKBOTKDWSSQWDR-UHFFFAOYSA-N	InChI=1S/Br	[Br]	"{""Br"": 1, ""e-"": 35}"	0
ZAMOUSCENKQFHK-UHFFFAOYSA-N	InChI=1S/Cl	[Cl]	"{""Cl"": 1, ""e-"": 17}"	0
GSQBFINVLXKPNU-UHFFFAOYSA-N	InChI=1S/P2/c1-2/q+1	P#[P+]	"{""P"": 2, ""e-"": 29}"	1
NDHYILTXGGVEAB-UHFFFAOYSA-N	InChI=1S/P2/c1-2/q-1	[P]=[P-]	"{""P"": 2, ""e-"": 31}"	-1
LWVRJZXYUQBNHW-UHFFFAOYSA-N	InChI=1S/S2/c1-2/q-2	[S-][S-]	"{""S"": 2, ""e-"": 34}"	-2
SUNFGZRUFCAYCR-UHFFFAOYSA-N	InChI=1S/O/q-1	[O-]	"{""O"": 1, ""e-"": 9}"	-1
XHWLRFQJZNQFGO-UHFFFAOYSA-N	InChI=1S/C2/c1-2/q-1	[C]#[C-]	"{""C"": 2, ""e-"": 13}"	-1
ZOKXTWBITQBERF-UHFFFAOYSA-N	InChI=1S/Mo	[Mo]	"{""Mo"": 1, ""e-"": 42}"	0
MMVYPOCJESWGTC-UHFFFAOYSA-N	InChI=1S/Mo/q+2	[Mo+2]	"{""Mo"": 1, ""e-"": 40}"	2
YCKRFDGAMUMZLT-UHFFFAOYSA-N	InChI=1S/F	[F]	"{""F"": 1, ""e-"": 9}"	0
JDUHXLSMNANTJB-UHFFFAOYSA-N	InChI=1S/Ge/q-4	[Ge-4]	"{""Ge"": 1, ""e-"": 36}"	-4
SBLSYFIUPXRQRY-UHFFFAOYSA-N	InChI=1S/Al/q-1	[Al-]	"{""Al"": 1, ""e-"": 14}"	-1
XGLYHUVZMIRFNT-UHFFFAOYSA-N	InChI=1S/B/q-1	[B-]	"{""B"": 1, ""e-"": 6}"	-1
RTNCBHBYULLTCL-UHFFFAOYSA-N	InChI=1S/C/q-1	[C-]	"{""C"": 1, ""e-"": 7}"	-1
HJELPJZFDFLHEY-UHFFFAOYSA-N	InChI=1S/Si/q-1	[Si-]	"{""Si"": 1, ""e-"": 15}"	-1
VDAZFUUMKCQRLN-UHFFFAOYSA-N	InChI=1S/At/q-1	[At-]	"{""At"": 1, ""e-"": 86}"	-1
ZCYVEMRRCGMTRW-UHFFFAOYSA-N	InChI=1S/I	[I]	"{""I"": 1, ""e-"": 53}"	0
RVPVRDXYQKGNMQ-UHFFFAOYSA-N	InChI=1S/Pb/q+2	[Pb+2]	"{""Pb"": 1, ""e-"": 80}"	2
VSRVKRSRQFOUEF-UHFFFAOYSA-N	InChI=1S/Li/q-1	[Li-]	"{""Li"": 1, ""e-"": 4}"	-1
CBENFWSGALASAD-UHFFFAOYSA-N	InChI=1S/O3/c1-3-2	[O-][O+]=O	"{""O"": 3, ""e-"": 24}"	0
MDUNCNLRRKCJGZ-UHFFFAOYSA-N	InChI=1S/C/q-4	[C-4]	"{""C"": 1, ""e-"": 10}"	-4
IJGRMHOSHXDMSA-UHFFFAOYSA-N	InChI=1S/N2/c1-2	N#N	"{""N"": 2, ""e-"": 14}"	0
OAICVXFJPJFONN-UHFFFAOYSA-N	InChI=1S/P	[P]	"{""P"": 1, ""e-"": 15}"	0
FZTWZIMSKAGPSB-UHFFFAOYSA-N	InChI=1S/P/q-3	[P-3]	"{""P"": 1, ""e-"": 18}"	-3
BZZJUZUZJRQHLZ-UHFFFAOYSA-N	InChI=1S/N2/c1-2/q-2	[N-]=[N-]	"{""N"": 2, ""e-"": 16}"	-2
BUGBHKTXTAQXES-UHFFFAOYSA-N	InChI=1S/Se	[Se]	"{""Se"": 1, ""e-"": 34}"	0
MFSBVGSNNPNWMD-UHFFFAOYSA-N	InChI=1S/Se/q+2	[Se+2]	"{""Se"": 1, ""e-"": 32}"	2
UWWOIRWVTCLRBA-UHFFFAOYSA-N	InChI=1S/K/q-1	[K-]	"{""K"": 1, ""e-"": 20}"	-1
ZDINGUUTWDGGFF-UHFFFAOYSA-N	InChI=1S/Sb/q+5	[Sb+5]	"{""Sb"": 1, ""e-"": 46}"	5
FVBUAEGBCNSCDD-UHFFFAOYSA-N	InChI=1S/Si/q-4	[Si-4]	"{""Si"": 1, ""e-"": 18}"	-4
ARNUDCKQSCEIEX-UHFFFAOYSA-N	InChI=1S/S/q-1	[S-]	"{""S"": 1, ""e-"": 17}"	-1
XSOKHXFFCGXDJZ-UHFFFAOYSA-N	InChI=1S/Te/q-2	[Te-2]	"{""Te"": 1, ""e-"": 54}"	-2
HMUBNCUQSSTAIB-UHFFFAOYSA-N	InChI=1S/Se/q-2	[Se-2]	"{""Se"": 1, ""e-"": 36}"	-2
GPWDPLKISXZVIE-UHFFFAOYSA-N	InChI=1S/C18/c1-2-4-6-8-10-12-14-16-18-17-15-13-11-9-7-5-3-1	C1#CC#CC#CC#CC#CC#CC#CC#CC#C1	"{""C"": 18, ""e-"": 108}"	0
FTFMSLKBXSATDG-UHFFFAOYSA-N	InChI=1S/P/q+1	[P+]	"{""P"": 1, ""e-"": 14}"	1
BASFCYQUMIYNBI-UHFFFAOYSA-N	InChI=1S/Pt	[Pt]	"{""Pt"": 1, ""e-"": 78}"	0
HRGDZIGMBDGFTC-UHFFFAOYSA-N	InChI=1S/Pt/q+2	[Pt+2]	"{""Pt"": 1, ""e-"": 76}"	2
FTDZDYKQOAOCRU-UHFFFAOYSA-N	InChI=1S/Pt/q+3	[Pt+3]	"{""Pt"": 1, ""e-"": 75}"	3
NDBYXKQCPYUOMI-UHFFFAOYSA-N	InChI=1S/Pt/q+4	[Pt+4]	"{""Pt"": 1, ""e-"": 74}"	4
OYEHPCDNVJXUIW-UHFFFAOYSA-N	InChI=1S/Pu	[Pu]	"{""Pu"": 1, ""e-"": 94}"	0
HZEBHPIOVYHPMT-UHFFFAOYSA-N	InChI=1S/Po	[Po]	"{""Po"": 1, ""e-"": 84}"	0
ZLMJMSJWJFRBEC-UHFFFAOYSA-N	InChI=1S/K	[K]	"{""K"": 1, ""e-"": 19}"	0
PUDIUYLPXJFUGB-UHFFFAOYSA-N	InChI=1S/Pr	[Pr]	"{""Pr"": 1, ""e-"": 59}"	0
VQMWBBYLQSCNPO-UHFFFAOYSA-N	InChI=1S/Pm	[Pm]	"{""Pm"": 1, ""e-"": 61}"	0
XLROVYAPLOFLNU-UHFFFAOYSA-N	InChI=1S/Pa	[Pa]	"{""Pa"": 1, ""e-"": 91}"	0
HCWPIIXVSYCSAN-UHFFFAOYSA-N	InChI=1S/Ra	[Ra]	"{""Ra"": 1, ""e-"": 88}"	0
SYUHGPGVQRZVTB-UHFFFAOYSA-N	InChI=1S/Rn	[Rn]	"{""Rn"": 1, ""e-"": 86}"	0
JJFSYGYNJBXNPV-UHFFFAOYSA-N	InChI=1S/Rn/q+1	[Rn+]	"{""Rn"": 1, ""e-"": 85}"	1
WUAPFZMCVAUBPE-UHFFFAOYSA-N	InChI=1S/Re	[Re]	"{""Re"": 1, ""e-"": 75}"	0
MHOVAHRLVXNVSD-UHFFFAOYSA-N	InChI=1S/Rh	[Rh]	"{""Rh"": 1, ""e-"": 45}"	0
VKTONJJWIAOTTR-UHFFFAOYSA-N	InChI=1S/Rb/q-1	[Rb-]	"{""Rb"": 1, ""e-"": 38}"	-1
IGLNJRXAVVLDKE-UHFFFAOYSA-N	InChI=1S/Rb	[Rb]	"{""Rb"": 1, ""e-"": 37}"	0
NCCSSGKUIKYAJD-UHFFFAOYSA-N	InChI=1S/Rb/q+1	[Rb+]	"{""Rb"": 1, ""e-"": 36}"	1
KJTLSVCANCCWHF-UHFFFAOYSA-N	InChI=1S/Ru	[Ru]	"{""Ru"": 1, ""e-"": 44}"	0
YAYGSLOSTXKUBW-UHFFFAOYSA-N	InChI=1S/Ru/q+2	[Ru+2]	"{""Ru"": 1, ""e-"": 42}"	2
BPEVHDGLPIIAGH-UHFFFAOYSA-N	InChI=1S/Ru/q+3	[Ru+3]	"{""Ru"": 1, ""e-"": 41}"	3
RADGOBKLTHEUQO-UHFFFAOYSA-N	InChI=1S/Ru/q+4	[Ru+4]	"{""Ru"": 1, ""e-"": 40}"	4
YGPLJIIQQIDVFJ-UHFFFAOYSA-N	InChI=1S/Rf	[Rf]	"{""Rf"": 1, ""e-"": 104}"	0
KZUNJOHGWZRPMI-UHFFFAOYSA-N	InChI=1S/Sm	[Sm]	"{""Sm"": 1, ""e-"": 62}"	0
SIXSYDAISGFNSX-UHFFFAOYSA-N	InChI=1S/Sc	[Sc]	"{""Sc"": 1, ""e-"": 21}"	0
VAOUCABZIBBBJH-UHFFFAOYSA-N	InChI=1S/Sg	[Sg]	"{""Sg"": 1, ""e-"": 106}"	0
XUIMIQQOPSSXEZ-UHFFFAOYSA-N	InChI=1S/Si	[Si]	"{""Si"": 1, ""e-"": 14}"	0
FSLGCYNKXXIWGJ-UHFFFAOYSA-N	InChI=1S/Si/q+1	[Si+]	"{""Si"": 1, ""e-"": 13}"	1
RWMKKWXZFRMVPB-UHFFFAOYSA-N	InChI=1S/Si/q+4	[Si+4]	"{""Si"": 1, ""e-"": 10}"	4
KEAYESYHFKHZAL-UHFFFAOYSA-N	InChI=1S/Na	[Na]	"{""Na"": 1, ""e-"": 11}"	0
PWYYWQHXAPXYMF-UHFFFAOYSA-N	InChI=1S/Sr/q+2	[Sr+2]	"{""Sr"": 1, ""e-"": 36}"	2
CIOAGBVUUVVLOB-UHFFFAOYSA-N	InChI=1S/Sr	[Sr]	"{""Sr"": 1, ""e-"": 38}"	0
QDEYBKUQZKVQLI-UHFFFAOYSA-N	InChI=1S/Sr/q+1	[Sr+]	"{""Sr"": 1, ""e-"": 37}"	1
NKARKLBRYYSBBM-UHFFFAOYSA-N	InChI=1S/S/q+1	[S+]	"{""S"": 1, ""e-"": 15}"	1
WTKKCYNZRWIVKL-UHFFFAOYSA-N	InChI=1S/Ta/q+5	[Ta+5]	"{""Ta"": 1, ""e-"": 68}"	5
GUVRBAGPIYLISA-UHFFFAOYSA-N	InChI=1S/Ta	[Ta]	"{""Ta"": 1, ""e-"": 73}"	0
GKLVYJBZJHMRIY-UHFFFAOYSA-N	InChI=1S/Tc	[Tc]	"{""Tc"": 1, ""e-"": 43}"	0
LHBANKJAFPUZQV-UHFFFAOYSA-N	InChI=1S/Te/q+4	[Te+4]	"{""Te"": 1, ""e-"": 48}"	4
PORWMNRCUJJQNO-UHFFFAOYSA-N	InChI=1S/Te	[Te]	"{""Te"": 1, ""e-"": 52}"	0
GZCRRIHWUXGPOV-UHFFFAOYSA-N	InChI=1S/Tb	[Tb]	"{""Tb"": 1, ""e-"": 65}"	0
HKCRVXUAKWXBLE-UHFFFAOYSA-N	InChI=1S/Tb/q+3	[Tb+3]	"{""Tb"": 1, ""e-"": 62}"	3
UYVQXFOBKTWZCW-UHFFFAOYSA-N	InChI=1S/As4/c1-2-3(1)4(1)2	[As]12[As]3[As]1[As]23	"{""As"": 4, ""e-"": 132}"	0
ZHDCJBVYMJTAMR-UHFFFAOYSA-N	InChI=1S/As4/c1-2-3(1)4(1)2/q+1	[As+]12[As]3[As]1[As]23	"{""As"": 4, ""e-"": 131}"	1
OBSZRRSYVTXPNB-UHFFFAOYSA-N	InChI=1S/P4/c1-2-3(1)4(1)2	P12P3P1P23	"{""P"": 4, ""e-"": 60}"	0
XPTMHAAYCORNKQ-UHFFFAOYSA-N	InChI=1S/P4/c1-2-3(1)4(1)2/q+1	[P+]12P3P1P23	"{""P"": 4, ""e-"": 59}"	1
DWUJRTRZNSKEEU-UHFFFAOYSA-N	InChI=1S/Si4/c1-3-4-2/q-4	[Si-2]=[Si]=[Si]=[Si-2]	"{""Si"": 4, ""e-"": 60}"	-4
IOOGPFMMGKCAGU-UHFFFAOYSA-N	InChI=1S/S4/c1-3-4-2	S=S=S=S	"{""S"": 4, ""e-"": 64}"	0
VTPMRTYPKXIHPC-UHFFFAOYSA-N	InChI=1S/S4/c1-3-4-2/q+2	S=[S+][S+]=S	"{""S"": 4, ""e-"": 62}"	2
BKVIYDNLLOSFOA-UHFFFAOYSA-N	InChI=1S/Tl	[Tl]	"{""Tl"": 1, ""e-"": 81}"	0
ZLUSCZLCHQSJRU-UHFFFAOYSA-N	InChI=1S/Tl/q+1	[Tl+]	"{""Tl"": 1, ""e-"": 80}"	1
XWVKTOHUMPLABF-UHFFFAOYSA-N	InChI=1S/Tl/q+3	[Tl+3]	"{""Tl"": 1, ""e-"": 78}"	3
ZSLUVFAKFWKJRC-UHFFFAOYSA-N	InChI=1S/Th	[Th]	"{""Th"": 1, ""e-"": 90}"	0
FRNOGLGSGLTDKL-UHFFFAOYSA-N	InChI=1S/Tm	[Tm]	"{""Tm"": 1, ""e-"": 69}"	0
LCKIEQZJEYYRIY-UHFFFAOYSA-N	InChI=1S/Ti/q+4	[Ti+4]	"{""Ti"": 1, ""e-"": 18}"	4
RTAQQCXQSZGOHL-UHFFFAOYSA-N	InChI=1S/Ti	[Ti]	"{""Ti"": 1, ""e-"": 22}"	0
QWLPJNYQVKBMAN-UHFFFAOYSA-N	InChI=1S/H3/h1H2/q+1	[H][H+][H]	"{""H"": 3, ""e-"": 2}"	1
DUAJIKVIRGATIW-UHFFFAOYSA-N	InChI=1S/N3/c1-3-2	[N]=[N+]=[N-]	"{""N"": 3, ""e-"": 21}"	0
HJOYLBCIKCATDB-UHFFFAOYSA-N	InChI=1S/S3/c1-3-2/q+2	S=[S+]#[S+]	"{""S"": 3, ""e-"": 46}"	2
YFGRPIXHCIXTLM-UHFFFAOYSA-N	InChI=1S/W/q+4	[W+4]	"{""W"": 1, ""e-"": 70}"	4
IWIACDUBSJLWEJ-UHFFFAOYSA-N	InChI=1S/W/q+5	[W+5]	"{""W"": 1, ""e-"": 69}"	5
FZFRVZDLZISPFJ-UHFFFAOYSA-N	InChI=1S/W/q+6	[W+6]	"{""W"": 1, ""e-"": 68}"	6
NOTIIDSZELDPOP-UHFFFAOYSA-N	InChI=1S/Cn	[Cn]	"{""Cn"": 1, ""e-"": 112}"	0
JFALSRSLKYAFGM-UHFFFAOYSA-N	InChI=1S/U	[U]	"{""U"": 1, ""e-"": 92}"	0
APTCBRLTBRHWIW-UHFFFAOYSA-N	InChI=1S/U/q+2	[U+2]	"{""U"": 1, ""e-"": 90}"	2
IYMWLFSZGRYBCD-UHFFFAOYSA-N	InChI=1S/U/q+3	[U+3]	"{""U"": 1, ""e-"": 89}"	3
HNVACBPOIKOMQP-UHFFFAOYSA-N	InChI=1S/U/q+4	[U+4]	"{""U"": 1, ""e-"": 88}"	4
APPUVMLQTFWVKR-UHFFFAOYSA-N	InChI=1S/U/q+5	[U+5]	"{""U"": 1, ""e-"": 87}"	5
AAORDHMTTHGXCV-UHFFFAOYSA-N	InChI=1S/U/q+6	[U+6]	"{""U"": 1, ""e-"": 86}"	6
LEONUFNNVUYDNQ-UHFFFAOYSA-N	InChI=1S/V	[V]	"{""V"": 1, ""e-"": 23}"	0
GNZKCLSXDUXHNG-UHFFFAOYSA-N	InChI=1S/V/q+1	[V+]	"{""V"": 1, ""e-"": 22}"	1
BLSRSXLJVJVBIK-UHFFFAOYSA-N	InChI=1S/V/q+2	[V+2]	"{""V"": 1, ""e-"": 21}"	2
KOKKJWHERHSKEB-UHFFFAOYSA-N	InChI=1S/V/q+3	[V+3]	"{""V"": 1, ""e-"": 20}"	3
PSDQQCXQSWHCRN-UHFFFAOYSA-N	InChI=1S/V/q+4	[V+4]	"{""V"": 1, ""e-"": 19}"	4
DIMMBYOINZRKMD-UHFFFAOYSA-N	InChI=1S/V/q+5	[V+5]	"{""V"": 1, ""e-"": 18}"	5
PBOIVMQJBOLCJX-UHFFFAOYSA-N	InChI=1S/Xe/q+1	[Xe+]	"{""Xe"": 1, ""e-"": 53}"	1
NAWDYIZEMPQZHO-UHFFFAOYSA-N	InChI=1S/Yb	[Yb]	"{""Yb"": 1, ""e-"": 70}"	0
AWSFICBXMUKWSK-UHFFFAOYSA-N	InChI=1S/Yb/q+3	[Yb+3]	"{""Yb"": 1, ""e-"": 67}"	3
VWQVUPCCIRVNHF-UHFFFAOYSA-N	InChI=1S/Y	[Y]	"{""Y"": 1, ""e-"": 39}"	0
KAJPZYFHSCFBCI-UHFFFAOYSA-N	InChI=1S/Y/q+2	[Y+2]	"{""Y"": 1, ""e-"": 37}"	2
PLSXAKJQEDOMBH-UHFFFAOYSA-N	InChI=1S/Zn/q+1	[Zn+]	"{""Zn"": 1, ""e-"": 29}"	1
UFLZNUWLGDSEQA-UHFFFAOYSA-N	InChI=1S/Zn/q-1	[Zn-]	"{""Zn"": 1, ""e-"": 31}"	-1
GBNDTYKAOXLLID-UHFFFAOYSA-N	InChI=1S/Zr/q+4	[Zr+4]	"{""Zr"": 1, ""e-"": 36}"	4
QCWXUUIWCKQGHC-UHFFFAOYSA-N	InChI=1S/Zr	[Zr]	"{""Zr"": 1, ""e-"": 40}"	0
XLJKHNWPARRRJB-UHFFFAOYSA-N	InChI=1S/Co/q+2	[Co+2]	"{""Co"": 1, ""e-"": 25}"	2
PNDPGZBMCMUPRI-UHFFFAOYSA-N	InChI=1S/I2/c1-2	II	"{""I"": 2, ""e-"": 106}"	0
NPYPAHLBTDXSSS-UHFFFAOYSA-N	InChI=1S/K/q+1	[K+]	"{""K"": 1, ""e-"": 18}"	1
LJROPTGWFUZRDB-UHFFFAOYSA-N	InChI=1S/Rg	[Rg]	"{""Rg"": 1, ""e-"": 111}"	0
